id_pair,tfidf_simil,genre_simil,age_simil,length_simil,collab_simil
"(0, 0)",2.0,2.0,2.0,2.0,2.0
"(0, 1)",0.009124755859375,1.5537109375,2.0,2.0,1.39306640625
"(0, 2)",0.00440216064453125,1.328125,2.0,2.0,1.375
"(0, 3)",0.00705718994140625,1.5166015625,1.3333333333333335,2.0,1.1739501953125
"(0, 4)",0.004749298095703125,1.5166015625,0.6666666666666667,1.0,1.11297607421875
"(0, 5)",0.0086669921875,1.4716796875,2.0,2.0,1.3291015625
"(0, 6)",0.00411224365234375,1.5537109375,1.3333333333333335,2.0,1.11602783203125
"(0, 7)",0.007354736328125,1.724609375,1.3333333333333335,2.0,1.05999755859375
"(0, 8)",0.0033931732177734375,1.7587890625,2.0,1.0,1.1300048828125
"(0, 9)",0.00463104248046875,1.3740234375,0.6666666666666667,2.0,1.10198974609375
"(0, 10)",0.004947662353515625,1.875,2.0,2.0,1.12298583984375
"(0, 11)",0.01200103759765625,1.849609375,1.3333333333333335,2.0,0.9989995956420898
"(0, 12)",0.007472991943359375,1.6396484375,1.3333333333333335,1.0,1.032989501953125
"(0, 13)",0.00601959228515625,1.375,2.0,2.0,1.114013671875
"(0, 14)",0.8251953125,1.7919921875,2.0,2.0,1.388916015625
"(0, 15)",0.003971099853515625,1.5537109375,2.0,2.0,1.1490478515625
"(0, 16)",0.005924224853515625,1.810546875,1.3333333333333335,2.0,1.10198974609375
"(0, 17)",0.81494140625,1.7919921875,2.0,2.0,1.37890625
"(0, 18)",0.0093536376953125,1.5537109375,2.0,2.0,1.1590576171875
"(0, 19)",0.007793426513671875,1.76171875,2.0,2.0,1.126953125
"(0, 20)",0.0103302001953125,0.0,2.0,1.0,1.135009765625
"(0, 21)",0.004638671875,1.7607421875,2.0,2.0,1.0110015869140625
"(0, 22)",0.00800323486328125,1.5537109375,2.0,2.0,1.1619873046875
"(0, 23)",0.00850677490234375,1.5166015625,1.3333333333333335,2.0,1.032989501953125
"(0, 24)",0.007465362548828125,0.0,0.0,2.0,1.040985107421875
"(0, 25)",0.005214691162109375,1.7919921875,2.0,2.0,1.1529541015625
"(0, 26)",0.0045623779296875,1.5166015625,1.3333333333333335,1.0,1.0200042724609375
"(0, 27)",0.0149688720703125,1.548828125,2.0,1.0,1.1280517578125
"(0, 28)",0.006900787353515625,0.0,2.0,2.0,1.0999755859375
"(0, 29)",0.005313873291015625,1.8720703125,2.0,2.0,0.9879989624023438
"(0, 30)",0.01593017578125,1.8427734375,2.0,1.0,1.197998046875
"(0, 31)",0.0039043426513671875,1.73046875,1.3333333333333335,2.0,1.2030029296875
"(0, 32)",0.0139312744140625,1.4111328125,2.0,2.0,1.1700439453125
"(0, 33)",0.01464080810546875,1.76171875,2.0,1.0,1.1689453125
"(0, 34)",0.005035400390625,1.5537109375,2.0,2.0,1.26904296875
"(0, 35)",0.0079193115234375,1.4833984375,0.6666666666666667,2.0,1.0999755859375
"(0, 36)",0.00710296630859375,1.33984375,2.0,2.0,1.11798095703125
"(0, 37)",0.01114654541015625,1.5166015625,2.0,2.0,1.032012939453125
"(0, 38)",0.007808685302734375,1.5009765625,2.0,2.0,1.06597900390625
"(0, 39)",0.007659912109375,1.6416015625,1.3333333333333335,1.0,1.0189971923828125
"(0, 40)",0.006175994873046875,1.2265625,2.0,2.0,1.0880126953125
"(0, 41)",0.00717926025390625,1.4716796875,2.0,2.0,1.22900390625
"(0, 42)",0.0081024169921875,1.328125,2.0,1.0,1.08197021484375
"(0, 43)",0.00782012939453125,1.818359375,2.0,2.0,1.1590576171875
"(0, 44)",0.006984710693359375,1.6044921875,1.3333333333333335,2.0,1.06201171875
"(0, 45)",0.0167083740234375,1.6416015625,1.3333333333333335,2.0,1.03900146484375
"(0, 46)",0.00604248046875,1.3203125,2.0,1.0,1.0780029296875
"(0, 47)",0.010467529296875,1.5166015625,2.0,2.0,1.0889892578125
"(0, 48)",0.005725860595703125,1.5302734375,0.6666666666666667,2.0,0.9730072021484375
"(0, 49)",0.007045745849609375,1.4716796875,1.3333333333333335,2.0,1.0469970703125
"(0, 50)",0.0052337646484375,1.375,2.0,2.0,1.0679931640625
"(0, 51)",0.00757598876953125,1.736328125,0.6666666666666667,2.0,1.055999755859375
"(0, 52)",0.007045745849609375,1.5166015625,2.0,2.0,1.1199951171875
"(0, 53)",0.010406494140625,1.8251953125,1.3333333333333335,2.0,0.9860000610351562
"(0, 54)",0.00853729248046875,1.875,1.3333333333333335,1.0,1.0290069580078125
"(0, 55)",0.0038051605224609375,1.5166015625,2.0,2.0,1.06402587890625
"(0, 56)",0.0075531005859375,1.5166015625,2.0,2.0,1.1529541015625
"(0, 57)",0.011322021484375,1.849609375,2.0,2.0,1.048004150390625
"(0, 58)",0.0210113525390625,1.7646484375,0.6666666666666667,2.0,1.01300048828125
"(0, 59)",0.005405426025390625,1.537109375,1.3333333333333335,2.0,1.031005859375
"(0, 60)",0.0127410888671875,1.4541015625,2.0,2.0,1.09002685546875
"(0, 61)",0.0081024169921875,1.5166015625,0.6666666666666667,2.0,1.04400634765625
"(0, 62)",0.0065155029296875,1.5302734375,2.0,2.0,1.11700439453125
"(0, 63)",0.00731658935546875,1.7001953125,2.0,2.0,1.10601806640625
"(0, 64)",0.0117950439453125,1.5068359375,0.0,2.0,0.946990966796875
"(0, 65)",0.005008697509765625,0.0,1.3333333333333335,1.0,1.0110015869140625
"(0, 66)",0.004222869873046875,1.73046875,2.0,2.0,0.98699951171875
"(0, 67)",0.00963592529296875,1.83984375,0.6666666666666667,2.0,0.9959983825683594
"(0, 68)",0.005741119384765625,1.51171875,2.0,2.0,1.045013427734375
"(0, 69)",0.010833740234375,1.5166015625,1.3333333333333335,2.0,1.0020008087158203
"(0, 70)",0.008209228515625,1.74609375,2.0,2.0,1.07098388671875
"(0, 71)",0.006244659423828125,1.6650390625,2.0,2.0,1.1689453125
"(0, 72)",0.00923919677734375,1.251953125,1.3333333333333335,2.0,1.126953125
"(0, 73)",0.0038051605224609375,1.5166015625,1.3333333333333335,1.0,1.1090087890625
"(0, 74)",0.009246826171875,1.7919921875,2.0,2.0,1.287109375
"(0, 75)",0.00911712646484375,1.6416015625,0.6666666666666667,2.0,1.06201171875
"(0, 76)",0.0021610260009765625,1.4716796875,1.3333333333333335,2.0,0.9229736328125
"(0, 77)",0.0078125,1.736328125,0.6666666666666667,2.0,0.959014892578125
"(0, 78)",0.006855010986328125,1.787109375,0.6666666666666667,2.0,1.0060005187988281
"(0, 79)",0.008056640625,1.375,2.0,2.0,1.003000259399414
